x1,x2,x3,x4,x5,x6,y1,y2,y3,y4,y5
-1.058261,1.286717,-1.630393,1.808376,1.221699,1.334133,1.000000,0.000000,0.000000,0.000000,0.000000
-0.148073,-0.859200,1.103746,0.938700,2.363821,2.412456,0.000000,0.000000,0.000000,1.000000,0.000000
0.669817,1.559958,-2.262279,2.477135,-0.788831,-1.170620,0.000000,0.000000,1.000000,0.000000,0.000000
2.518853,-0.730668,-1.126898,1.177453,-1.098965,-2.175640,0.000000,1.000000,0.000000,0.000000,0.000000
2.244997,-0.824435,0.953284,-0.058106,-1.761608,-2.244257,0.000000,0.000000,1.000000,0.000000,0.000000
-0.617361,1.853111,2.111174,0.374684,-1.491891,-0.352231,0.000000,0.000000,0.000000,0.000000,1.000000
2.965402,-1.904386,-1.535302,1.862114,0.677905,-0.933332,0.000000,1.000000,0.000000,0.000000,0.000000
-2.298484,2.414106,1.255849,-1.547821,-1.987507,-0.470840,0.000000,0.000000,1.000000,0.000000,0.000000
0.961830,-1.635712,4.066911,0.445166,1.623429,1.969798,0.000000,0.000000,0.000000,1.000000,0.000000
0.436780,-1.315024,-0.465234,2.295015,3.545408,2.907849,0.000000,0.000000,0.000000,1.000000,0.000000
-0.874643,1.478765,0.444912,-0.733766,-1.709958,-0.988100,0.000000,0.000000,1.000000,0.000000,0.000000
-0.317027,-0.410559,-0.567910,-0.116506,0.886680,0.712162,0.000000,1.000000,0.000000,0.000000,0.000000
-0.776155,1.092015,1.496231,-0.720979,-1.246012,-0.388007,0.000000,0.000000,0.000000,0.000000,1.000000
0.909237,-2.237734,2.336460,0.521751,2.610560,2.377594,0.000000,0.000000,0.000000,1.000000,0.000000
0.111670,0.979133,0.100351,-0.685933,-2.226618,-1.945019,0.000000,1.000000,0.000000,0.000000,0.000000
0.656632,0.999558,-3.840804,2.384128,-0.074212,-0.989809,0.000000,0.000000,1.000000,0.000000,0.000000
-0.377481,0.814281,-0.155200,-0.059514,-0.751883,-0.488539,1.000000,0.000000,0.000000,0.000000,0.000000
-1.457640,2.032673,-1.424119,1.515191,0.378562,0.838683,1.000000,0.000000,0.000000,0.000000,0.000000
-0.259636,1.914079,-0.339922,0.341663,-2.119251,-1.650805,0.000000,1.000000,0.000000,0.000000,0.000000
-2.654764,1.995120,-1.508010,1.013185,1.504750,2.219203,1.000000,0.000000,0.000000,0.000000,0.000000
-3.766985,2.467253,-0.538951,-0.826967,0.508865,1.899299,1.000000,0.000000,0.000000,0.000000,0.000000
2.949869,-1.304193,-0.770677,1.466097,-0.542215,-1.788347,0.000000,1.000000,0.000000,0.000000,0.000000
-2.763335,2.226985,-2.119132,1.988706,2.238620,2.854505,1.000000,0.000000,0.000000,0.000000,0.000000
1.530922,-3.494627,-1.841451,0.736245,3.763218,2.014709,0.000000,0.000000,0.000000,1.000000,0.000000
-0.583753,1.396848,-1.221593,-0.862919,-2.122101,-1.896343,0.000000,1.000000,0.000000,0.000000,0.000000
-0.372284,0.281726,-0.952443,1.315975,1.326581,1.204244,1.000000,0.000000,0.000000,0.000000,0.000000
-1.060316,0.235614,-0.174754,-0.918055,0.149091,0.436305,0.000000,0.000000,0.000000,0.000000,1.000000
-2.282007,0.356946,-0.508861,-2.224930,0.296692,0.850508,0.000000,0.000000,0.000000,1.000000,0.000000
0.419850,-0.723741,-1.042493,-1.026499,-0.501505,-1.011391,1.000000,0.000000,0.000000,0.000000,0.000000
-1.040287,-0.355966,-2.878510,-0.472700,1.365322,0.805849,1.000000,0.000000,0.000000,0.000000,0.000000
-1.222471,-1.156175,-2.667508,-2.114401,1.186415,0.563370,1.000000,0.000000,0.000000,0.000000,0.000000
0.503451,0.480446,-0.139430,-0.287049,-1.631499,-1.642358,0.000000,1.000000,0.000000,0.000000,0.000000
-1.448225,2.117756,0.828223,0.286529,-0.902654,0.177772,0.000000,0.000000,0.000000,0.000000,1.000000
2.125081,-0.799714,0.424364,2.020424,0.352033,-0.297803,0.000000,0.000000,0.000000,1.000000,0.000000
0.677663,-1.302569,-2.054755,0.891895,1.835081,0.799188,0.000000,0.000000,0.000000,1.000000,0.000000
-1.253494,1.104550,0.694770,-1.324692,-1.238823,-0.449255,0.000000,0.000000,1.000000,0.000000,0.000000
0.931900,-1.324196,0.946048,-1.836641,-1.041842,-1.304741,1.000000,0.000000,0.000000,0.000000,0.000000
1.856376,-1.237936,2.011914,1.382319,0.750260,0.460053,0.000000,0.000000,0.000000,1.000000,0.000000
-0.283583,1.573661,1.240662,0.684140,-1.236715,-0.472090,0.000000,0.000000,0.000000,0.000000,1.000000
-1.197997,2.033061,1.922460,-0.793679,-2.127130,-0.817602,0.000000,0.000000,1.000000,0.000000,0.000000
-0.455823,0.055843,-0.669924,0.844049,1.313442,1.235970,1.000000,0.000000,0.000000,0.000000,0.000000
-0.067801,-0.029224,-1.726160,-1.224454,-1.078560,-1.458592,0.000000,1.000000,0.000000,0.000000,0.000000
-1.144175,0.390723,0.004389,-0.798382,0.151197,0.538674,0.000000,1.000000,0.000000,0.000000,0.000000
-1.501660,1.745875,1.109688,0.569299,-0.015751,1.038755,0.000000,0.000000,0.000000,0.000000,1.000000
0.059110,-0.904587,-0.130534,-0.246903,0.996968,0.720428,0.000000,0.000000,0.000000,0.000000,1.000000
0.024716,2.393821,2.527053,-0.248530,-3.705617,-2.442938,0.000000,0.000000,0.000000,0.000000,1.000000
